episode, timestep, reward
1,256,9.945
3,512,10.1244
5,768,8.4817
7,1024,8.7443
9,1280,10.8807
11,1536,8.4002
13,1792,11.7467
15,2048,10.9655
17,2304,15.1023
19,2560,11.1885
21,2816,16.3298
23,3072,14.2938
25,3328,22.0165
27,3584,22.4822
29,3840,18.5797
31,4096,17.6849
33,4352,18.8608
35,4608,26.6276
37,4864,18.5022
39,5120,21.7839
41,5376,22.1992
43,5632,23.8541
45,5888,24.4899
47,6144,23.7266
49,6400,21.4116
51,6656,25.8609
53,6912,28.3436
55,7168,27.7676
57,7424,28.9248
59,7680,26.1231
61,7936,27.7714
63,8192,31.0262
65,8448,27.961
67,8704,29.9568
69,8960,29.8738
71,9216,29.3267
73,9472,28.5209
75,9728,33.0103
77,9984,28.2279
79,10240,30.0553
81,10496,34.8158
83,10752,27.9264
85,11008,32.4278
87,11264,30.5376
89,11520,31.3026
91,11776,28.5639
93,12032,34.9675
