episode, timestep, reward
3,4096,-5.1945
7,8192,-1.1191
11,12288,-5.9944
15,16384,-6.2892
19,20480,-3.3468
23,24576,-3.9143
27,28672,0.0406
31,32768,2.178
35,36864,2.8837
39,40960,2.9021
43,45056,2.2215
47,49152,3.2091
51,53248,2.0561
55,57344,2.9484
59,61440,1.0251
63,65536,3.0474
67,69632,2.505
71,73728,2.661
75,77824,2.8937
79,81920,1.6992
83,86016,2.7876
87,90112,2.9929
91,94208,2.0853
95,98304,3.4191
99,102400,2.6259
103,106496,3.099
107,110592,2.6199
111,114688,3.147
115,118784,2.857
119,122880,2.9433
123,126976,2.908
127,131072,3.388
131,135168,3.3539
135,139264,3.0215
139,143360,2.9908
143,147456,3.2087
147,151552,3.0893
151,155648,3.0253
155,159744,3.2692
159,163840,3.0592
163,167936,2.4221
167,172032,3.1065
171,176128,2.9324
175,180224,3.2653
179,184320,2.7985
183,188416,2.6856
187,192512,3.1486
191,196608,3.2588
195,200704,1.2037
199,204800,2.9528
203,208896,3.0182
207,212992,2.9441
211,217088,3.1791
215,221184,3.0619
219,225280,3.0225
223,229376,0.6223
227,233472,3.2168
231,237568,3.204
235,241664,1.9849
239,245760,3.5979
243,249856,2.9382
247,253952,3.4716
251,258048,3.6289
255,262144,3.0928
259,266240,2.8588
263,270336,3.3414
267,274432,3.3386
271,278528,3.111
275,282624,3.0757
279,286720,2.6027
283,290816,2.9156
287,294912,3.4141
291,299008,2.9194
